Stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,attention_key.keys,trial_key.keys,attention_key.rt,trial_key.rt,date,record,expName,participant,frameRate,
training trial music,0,0,0,0,None,None,,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
training trial music,0,1,1,1,None,None,,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalADS1new,0,2,2,2,None,None,,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalIDS1new,0,3,3,3,None,None,,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalADS2new,0,4,4,4,None,None,,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalIDS2new,0,5,5,5,None,None,,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalIDS3new,0,6,6,6,None,None,,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalADS3new,0,7,7,7,None,None,,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalADS4new,0,8,8,8,space,None,14.1763958684,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalIDS4new,0,9,9,9,None,None,,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalIDS5new,0,10,10,10,space,space,1.51874288963,0.502398618963,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalADS5new,0,11,11,11,space,space,0.510024111252,0.606349842623,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalIDS6new,0,12,12,12,space,space,6.58987255441,0.602181972936,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalADS6new,0,13,13,13,space,space,8.84065495338,0.470024144277,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalADS7new,0,14,14,14,space,space,0.497956093866,0.211353091523,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalIDS7new,0,15,15,15,space,space,0.403577585239,0.487833246123,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalIDS8new,0,16,16,16,space,space,0.630008001812,0.976960123982,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
finalADS8new,0,17,17,17,space,None,1.09228102583,,2018_Jan_20_1129,Yes,manybabies1,2,59.9875630519,
