Stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,attention_key.keys,attention_key.rt,trial_key.keys,trial_key.rt,date,record,expName,participant,frameRate,
training trial music,0,0,0,0,space,16.1488178102,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
training trial music,0,1,1,1,space,1.70661723148,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalIDS1new,0,2,2,2,space,5.99381470447,space,0.0965856066905,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalADS1new,0,3,3,3,space,3.38314796472,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalIDS2new,0,4,4,4,space,8.45882771723,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalADS2new,0,5,5,5,space,7.23727089958,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalADS3new,0,6,6,6,space,9.12888782518,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalIDS3new,0,7,7,7,space,8.32951046014,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalIDS4new,0,8,8,8,space,4.55019856105,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalADS4new,0,9,9,9,space,10.8229603944,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalADS5new,0,10,10,10,space,11.5975124161,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalIDS5new,0,11,11,11,space,5.29399612546,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalADS6new,0,12,12,12,None,,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalIDS6new,0,13,13,13,None,,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalIDS7new,0,14,14,14,None,,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalADS7new,0,15,15,15,space,3.18869009754,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalADS8new,0,16,16,16,space,7.93522559712,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
finalIDS8new,0,17,17,17,space,8.4670144273,None,,2018_Jan_27_1226,Yes,manybabies1,37,59.9680682615,
