Stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,attention_key.keys,trial_key.keys,date,record,expName,participant,frameRate
training trial music,0,0,0,0,None,None,2018_Apr_25_1660,Yes,manybabies1,40,59.96806826
training trial music,0,1,1,1,None,None,2018_Apr_25_1661,Yes,manybabies1,40,59.96806826
finalADS5new,0,2,2,2,None,None,2018_Apr_25_1662,Yes,manybabies1,40,59.96806826
finalIDS5new,0,3,3,3,None,None,2018_Apr_25_1663,Yes,manybabies1,40,59.96806826
finalIDS7new,0,4,4,4,None,None,2018_Apr_25_1664,Yes,manybabies1,40,59.96806826
finalADS7new,0,5,5,5,None,None,2018_Apr_25_1665,Yes,manybabies1,40,59.96806826
finalIDS1new,0,6,6,6,None,None,2018_Apr_25_1666,Yes,manybabies1,40,59.96806826
finalADS1new,0,7,7,7,None,None,2018_Apr_25_1667,Yes,manybabies1,40,59.96806826
finalIDS3new,0,8,8,8,None,None,2018_Apr_25_1668,Yes,manybabies1,40,59.96806826
finalADS3new,0,9,9,9,None,None,2018_Apr_25_1669,Yes,manybabies1,40,59.96806826
finalIDS2new,0,10,10,10,None,None,2018_Apr_25_1670,Yes,manybabies1,40,59.96806826
finalADS2new,0,11,11,11,None,None,2018_Apr_25_1671,Yes,manybabies1,40,59.96806826
finalADS4new,0,12,12,12,None,None,2018_Apr_25_1672,Yes,manybabies1,40,59.96806826
finalIDS4new,0,13,13,13,None,None,2018_Apr_25_1673,Yes,manybabies1,40,59.96806826
finalADS6new,0,14,14,14,None,None,2018_Apr_25_1674,Yes,manybabies1,40,59.96806826
finalIDS6new,0,15,15,15,None,None,2018_Apr_25_1675,Yes,manybabies1,40,59.96806826
finalADS8new,0,16,16,16,None,None,2018_Apr_25_1676,Yes,manybabies1,40,59.96806826
finalIDS8new,0,17,17,17,None,space,2018_Apr_25_1677,Yes,manybabies1,40,59.96806826
