Stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,attention_key.keys,trial_key.keys,attention_key.rt,date,record,expName,participant,frameRate,
training trial music,0,0,0,0,None,None,,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
training trial music,0,1,1,1,None,None,,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalADS5new,0,2,2,2,None,None,,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalIDS5new,0,3,3,3,space,None,4.28741981508,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalIDS7new,0,4,4,4,None,None,,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalADS7new,0,5,5,5,space,None,25.3972854633,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalIDS1new,0,6,6,6,space,None,2.0415489939,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalADS1new,0,7,7,7,space,None,10.9372286028,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalIDS3new,0,8,8,8,None,None,,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalADS3new,0,9,9,9,space,None,22.0565787069,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalIDS2new,0,10,10,10,space,None,2.83635968016,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalADS2new,0,11,11,11,space,None,2.12177931005,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalADS4new,0,12,12,12,space,None,8.67574385973,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalIDS4new,0,13,13,13,space,None,12.2076866706,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalADS6new,0,14,14,14,space,None,5.3199125533,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalIDS6new,0,15,15,15,space,None,17.5419794521,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalADS8new,0,16,16,16,space,None,5.07375147566,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
finalIDS8new,0,17,17,17,space,None,4.25320729567,2018_May_03_1208,Yes,manybabies1,44,59.9706765594,
