Stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,attention_key.keys,trial_key.keys,attention_key.rt,trial_key.rt,date,record,expName,participant,frameRate,
training trial music,0,0,0,0,None,None,,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
training trial music,0,1,1,1,None,None,,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalADS1new,0,2,2,2,None,None,,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalIDS1new,0,3,3,3,None,None,,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalADS2new,0,4,4,4,None,None,,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalIDS2new,0,5,5,5,None,None,,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalIDS3new,0,6,6,6,None,None,,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalADS3new,0,7,7,7,None,None,,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalADS4new,0,8,8,8,None,None,,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalIDS4new,0,9,9,9,None,None,,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalIDS5new,0,10,10,10,space,None,5.22537837038,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalADS5new,0,11,11,11,space,None,1.00147837959,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalIDS6new,0,12,12,12,space,space,0.260799129494,0.816664100625,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalADS6new,0,13,13,13,space,None,1.54054623283,,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalADS7new,0,14,14,14,space,space,1.81183319446,0.795196190011,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalIDS7new,0,15,15,15,space,space,0.746463445947,0.70125155244,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalIDS8new,0,16,16,16,space,space,0.0926325293258,0.226089437958,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
finalADS8new,0,17,17,17,space,space,0.0991782904603,0.606881177519,2018_May_16_1111,Yes,manybabies1,46,59.9872183653,
