Stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,attention_key.keys,trial_key.keys,attention_key.rt,trial_key.rt,date,record,expName,participant,frameRate,
training trial music,0,0,0,0,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
training trial music,0,1,1,1,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalADS5new,0,2,2,2,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalIDS5new,0,3,3,3,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalIDS7new,0,4,4,4,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalADS7new,0,5,5,5,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalIDS1new,0,6,6,6,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalADS1new,0,7,7,7,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalIDS3new,0,8,8,8,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalADS3new,0,9,9,9,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalIDS2new,0,10,10,10,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalADS2new,0,11,11,11,None,None,,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalADS4new,0,12,12,12,space,None,3.93476983719,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalIDS4new,0,13,13,13,space,None,4.82673728094,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalADS6new,0,14,14,14,space,None,3.3292758977,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalIDS6new,0,15,15,15,space,None,2.81771633215,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalADS8new,0,16,16,16,space,None,2.77991809603,,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
finalIDS8new,0,17,17,17,space,space,3.05913107656,1.44871714339,2018_Jun_13_0919,Yes,manybabies1,48,60.179889217,
