Stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,attention_key.keys,trial_key.keys,date,record,expName,participant,frameRate,
training trial music,0,0,0,0,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
training trial music,0,1,1,1,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalADS5new,0,2,2,2,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalIDS5new,0,3,3,3,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalIDS7new,0,4,4,4,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalADS7new,0,5,5,5,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalIDS1new,0,6,6,6,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalADS1new,0,7,7,7,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalIDS3new,0,8,8,8,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalADS3new,0,9,9,9,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalIDS2new,0,10,10,10,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalADS2new,0,11,11,11,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalADS4new,0,12,12,12,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalIDS4new,0,13,13,13,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalADS6new,0,14,14,14,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalIDS6new,0,15,15,15,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalADS8new,0,16,16,16,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
finalIDS8new,0,17,17,17,None,None,2018_May_07_1428,Yes,manybabies1,12,60.0290560734,
