Stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,attention_key.keys,trial_key.keys,trial_key.rt,date,record,expName,participant,frameRate,
training trial music,0,0,0,0,None,None,,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
training trial music,0,1,1,1,None,None,,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalIDS1new,0,2,2,2,None,None,,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalADS1new,0,3,3,3,None,None,,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalIDS2new,0,4,4,4,None,None,,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalADS2new,0,5,5,5,None,None,,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalADS3new,0,6,6,6,None,None,,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalIDS3new,0,7,7,7,None,None,,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalIDS4new,0,8,8,8,None,None,,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalADS4new,0,9,9,9,None,None,,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalADS5new,0,10,10,10,None,space,1.69887501508,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalIDS5new,0,11,11,11,None,space,4.27988567046,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalADS6new,0,12,12,12,None,space,3.61653089829,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalIDS6new,0,13,13,13,None,space,0.833637549746,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalIDS7new,0,14,14,14,None,space,1.07807605492,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalADS7new,0,15,15,15,None,space,0.713426084432,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalADS8new,0,16,16,16,None,space,0.340145974624,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
finalIDS8new,0,17,17,17,None,space,0.745088813943,2017_Aug_30_1012,Yes,manybabies1,1,59.8734572408,
