Stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,attention_key.keys,trial_key.keys,attention_key.rt,trial_key.rt,date,record,expName,participant,frameRate,
training trial music,0,0,0,0,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
training trial music,0,1,1,1,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalIDS1new,0,2,2,2,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalADS1new,0,3,3,3,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalIDS2new,0,4,4,4,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalADS2new,0,5,5,5,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalADS3new,0,6,6,6,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalIDS3new,0,7,7,7,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalIDS4new,0,8,8,8,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalADS4new,0,9,9,9,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalADS5new,0,10,10,10,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalIDS5new,0,11,11,11,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalADS6new,0,12,12,12,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalIDS6new,0,13,13,13,None,None,,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalIDS7new,0,14,14,14,space,None,13.0509977317,,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalADS7new,0,15,15,15,space,space,4.02907739836,1.7093795609,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalADS8new,0,16,16,16,space,space,0.829348359373,3.06801326072,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
finalIDS8new,0,17,17,17,space,space,1.2795660519,1.93581632129,2018_Apr_12_1216,Yes,manybabies1,9,59.9820480393,
